material_description|purchase_requisition_number|line_type|commodity_code|cost_center|purchase_order_number|currency|vendor_number|purchasing_organization_description|supplier_name_l1|item_number_of_purchase_requisition|requisition_date|supplier_part_number
Engineer (Offshore)|PR236343|Non-Catalog Item|Not Set|Carrier Next|Unclassified|USD|40015664|Carrier Corporation|Volt Consulting Grp|4|27 Jul 2022|Not Set
Issac, Alondrea|PR236432|Non-Catalog Item|Not Set|Plant Management - Athens|Unclassified|USD|40015664|Carrier Corporation|Volt Consulting Grp|1|27 Jul 2022|Not Set
Jones, Tyquavious|PR236445|Non-Catalog Item|Not Set|CTD Manufacturing|Unclassified|USD|40015664|Carrier Corporation|Volt Consulting Grp|1|27 Jul 2022|Not Set
Lassiter, Lemal|PR236428|Non-Catalog Item|Not Set|Plant Management - Athens|Unclassified|USD|40015664|Carrier Corporation|Volt Consulting Grp|1|27 Jul 2022|Not Set
Lay, Antivous|PR236424|Non-Catalog Item|Not Set|Plant Management - Athens|Unclassified|USD|40015664|Carrier Corporation|Volt Consulting Grp|1|27 Jul 2022|Not Set
Lee, Shaticia|PR208223-V6|Non-Catalog Item|Not Set|Plant Management - Athens|Unclassified|USD|40015664|Carrier Corporation|Volt Consulting Grp|1|27 Jul 2022|Not Set
Mechanical Engineer (Tarick)|PR236343|Non-Catalog Item|Not Set|Carrier Next|Unclassified|USD|40015664|Carrier Corporation|Volt Consulting Grp|13|27 Jul 2022|Not Set
Mechanical Engineer (Tarick)|PR236343|Non-Catalog Item|Not Set|Carrier Next|Unclassified|USD|40015664|Carrier Corporation|Volt Consulting Grp|15|27 Jul 2022|Not Set
Mechanical Engineer (Tarick)|PR236343|Non-Catalog Item|Not Set|Carrier Next|Unclassified|USD|40015664|Carrier Corporation|Volt Consulting Grp|16|27 Jul 2022|Not Set
Mechanical Engineer (Tarick)|PR236343|Non-Catalog Item|Not Set|Carrier Next|Unclassified|USD|40015664|Carrier Corporation|Volt Consulting Grp|17|27 Jul 2022|Not Set
Mechanical Engineer (Tarick)|PR236343|Non-Catalog Item|Not Set|Carrier Next|Unclassified|USD|40015664|Carrier Corporation|Volt Consulting Grp|2|27 Jul 2022|Not Set
Mechanical Engineer (Tarick)|PR236343|Non-Catalog Item|Not Set|Carrier Next|Unclassified|USD|40015664|Carrier Corporation|Volt Consulting Grp|22|27 Jul 2022|Not Set
Mechanical Engineer (Tarick)|PR236343|Non-Catalog Item|Not Set|Carrier Next|Unclassified|USD|40015664|Carrier Corporation|Volt Consulting Grp|25|27 Jul 2022|Not Set
Mechanical Engineer (Tarick)|PR236343|Non-Catalog Item|Not Set|Carrier Next|Unclassified|USD|40015664|Carrier Corporation|Volt Consulting Grp|3|27 Jul 2022|Not Set
Mitchell, Dyneisha|PR225841-V5|Non-Catalog Item|Not Set|INDIANAPOLIS DISTRIBUTION|Unclassified|USD|40015664|Carrier Corporation|Volt Consulting Grp|1|27 Jul 2022|Not Set
Onsite Engineer (Guru)|PR236343|Non-Catalog Item|Not Set|Carrier Next|Unclassified|USD|40015664|Carrier Corporation|Volt Consulting Grp|12|27 Jul 2022|Not Set
Onsite Engineer (Guru)|PR236343|Non-Catalog Item|Not Set|Carrier Next|Unclassified|USD|40015664|Carrier Corporation|Volt Consulting Grp|20|27 Jul 2022|Not Set
Onsite Engineer (Guru)|PR236343|Non-Catalog Item|Not Set|Carrier Next|Unclassified|USD|40015664|Carrier Corporation|Volt Consulting Grp|21|27 Jul 2022|Not Set
Onsite Engineer (Guru)|PR236343|Non-Catalog Item|Not Set|Carrier Next|Unclassified|USD|40015664|Carrier Corporation|Volt Consulting Grp|5|27 Jul 2022|Not Set
Onsite Engineer (Guru)|PR236343|Non-Catalog Item|Not Set|Carrier Next|Unclassified|USD|40015664|Carrier Corporation|Volt Consulting Grp|7|27 Jul 2022|Not Set
Onsite Engineer (Guru)|PR236343|Non-Catalog Item|Not Set|Carrier Next|Unclassified|USD|40015664|Carrier Corporation|Volt Consulting Grp|9|27 Jul 2022|Not Set
Project Manager (Roshan)|PR236343|Non-Catalog Item|Not Set|Carrier Next|Unclassified|USD|40015664|Carrier Corporation|Volt Consulting Grp|10|27 Jul 2022|Not Set
Project Manager (Roshan)|PR236343|Non-Catalog Item|Not Set|Carrier Next|Unclassified|USD|40015664|Carrier Corporation|Volt Consulting Grp|11|27 Jul 2022|Not Set
Project Manager (Roshan)|PR236343|Non-Catalog Item|Not Set|Carrier Next|Unclassified|USD|40015664|Carrier Corporation|Volt Consulting Grp|18|27 Jul 2022|Not Set
Project Manager (Roshan)|PR236343|Non-Catalog Item|Not Set|Carrier Next|Unclassified|USD|40015664|Carrier Corporation|Volt Consulting Grp|23|27 Jul 2022|Not Set
Project Manager (Roshan)|PR236343|Non-Catalog Item|Not Set|Carrier Next|Unclassified|USD|40015664|Carrier Corporation|Volt Consulting Grp|6|27 Jul 2022|Not Set
Project Manager (Roshan)|PR236343|Non-Catalog Item|Not Set|Carrier Next|Unclassified|USD|40015664|Carrier Corporation|Volt Consulting Grp|8|27 Jul 2022|Not Set
Smith, Emmanuel|PR236444|Non-Catalog Item|Not Set|CTD Manufacturing|Unclassified|USD|40015664|Carrier Corporation|Volt Consulting Grp|1|27 Jul 2022|Not Set
Stout, Terrell|PR236442|Non-Catalog Item|Not Set|Plant Management - Athens|Unclassified|USD|40015664|Carrier Corporation|Volt Consulting Grp|1|27 Jul 2022|Not Set
Travel Cost|PR236343|Non-Catalog Item|Not Set|Carrier Next|Unclassified|USD|40015664|Carrier Corporation|Volt Consulting Grp|1|27 Jul 2022|Not Set
Travel cost (Trip 1)|PR236343|Non-Catalog Item|Not Set|Carrier Next|Unclassified|USD|40015664|Carrier Corporation|Volt Consulting Grp|24|27 Jul 2022|Not Set
Travel cost (Trip 2)|PR236343|Non-Catalog Item|Not Set|Carrier Next|Unclassified|USD|40015664|Carrier Corporation|Volt Consulting Grp|14|27 Jul 2022|Not Set
Wymbs, Nichelle|PR236418|Non-Catalog Item|Not Set|Plant Management - Athens|Unclassified|USD|40015664|Carrier Corporation|Volt Consulting Grp|1|27 Jul 2022|Not Set
INFOSYS - Integration of Sailpoint and Service Now|PR222222-V2|Non-Catalog Item|Not Set|DT- Cyber Security- Enterprise|Unclassified|USD|40015677|Carrier Corporation|INFOSYS LIMITED HOSUR ROAD|1|27 Jul 2022|Not Set
Sailpoint - Maintenance 2022 renewal|PR236454|Non-Catalog Item|Not Set|DT- Cyber Security- Enterprise|Unclassified|USD|40016160|Carrier Corporation|SAILPOINT TECHNOLOGIES INC|1|27 Jul 2022|Not Set
Eccentric Shaft Assembly FP-2B-48|PR236550|Non-Catalog Item|Not Set|RECEIVING/STORES - CVL|Unclassified|USD|40000150|Carrier Corporation|OAK PRESS SOLUTIONS INC|1|28 Jul 2022|Not Set
Eccentric Shaft Assembly FP-2B-48|PR236551|Non-Catalog Item|Not Set|RECEIVING/STORES - CVL|Unclassified|USD|40000150|Carrier Corporation|OAK PRESS SOLUTIONS INC|1|28 Jul 2022|Not Set
Eccentric Shaft Assembly FP-2B-48|PR236552|Non-Catalog Item|Not Set|RECEIVING/STORES - CVL|Unclassified|USD|40000150|Carrier Corporation|OAK PRESS SOLUTIONS INC|1|28 Jul 2022|Not Set
In Plant Service Hours (Approximate Hours)|PR236550|Non-Catalog Item|Not Set|RECEIVING/STORES - CVL|Unclassified|USD|40000150|Carrier Corporation|OAK PRESS SOLUTIONS INC|5|28 Jul 2022|Not Set
In Plant Service Hours (Approximate Hours)|PR236551|Non-Catalog Item|Not Set|RECEIVING/STORES - CVL|Unclassified|USD|40000150|Carrier Corporation|OAK PRESS SOLUTIONS INC|5|28 Jul 2022|Not Set
In Plant Service Hours (Approximate Hours)|PR236552|Non-Catalog Item|Not Set|RECEIVING/STORES - CVL|Unclassified|USD|40000150|Carrier Corporation|OAK PRESS SOLUTIONS INC|5|28 Jul 2022|Not Set
Ladder Bearing Ass'y Lower FP-2, (Repair)Start1266|PR236550|Non-Catalog Item|Not Set|RECEIVING/STORES - CVL|Unclassified|USD|40000150|Carrier Corporation|OAK PRESS SOLUTIONS INC|3|28 Jul 2022|Not Set
Ladder Bearing Ass'y Lower FP-2, (Repair)Start1266|PR236551|Non-Catalog Item|Not Set|RECEIVING/STORES - CVL|Unclassified|USD|40000150|Carrier Corporation|OAK PRESS SOLUTIONS INC|3|28 Jul 2022|Not Set
Ladder Bearing Ass'y Lower FP-2, (Repair)Start1266|PR236552|Non-Catalog Item|Not Set|RECEIVING/STORES - CVL|Unclassified|USD|40000150|Carrier Corporation|OAK PRESS SOLUTIONS INC|3|28 Jul 2022|Not Set
Ladder Bearing Assembly, Upper, FP-2, (Repairs)|PR236550|Non-Catalog Item|Not Set|RECEIVING/STORES - CVL|Unclassified|USD|40000150|Carrier Corporation|OAK PRESS SOLUTIONS INC|2|28 Jul 2022|Not Set
Ladder Bearing Assembly, Upper, FP-2, (Repairs)|PR236551|Non-Catalog Item|Not Set|RECEIVING/STORES - CVL|Unclassified|USD|40000150|Carrier Corporation|OAK PRESS SOLUTIONS INC|2|28 Jul 2022|Not Set
Ladder Bearing Assembly, Upper, FP-2, (Repairs)|PR236552|Non-Catalog Item|Not Set|RECEIVING/STORES - CVL|Unclassified|USD|40000150|Carrier Corporation|OAK PRESS SOLUTIONS INC|2|28 Jul 2022|Not Set
Living Expenses (Approximate Cost)|PR236550|Non-Catalog Item|Not Set|RECEIVING/STORES - CVL|Unclassified|USD|40000150|Carrier Corporation|OAK PRESS SOLUTIONS INC|8|28 Jul 2022|Not Set
Living Expenses (Approximate Cost)|PR236551|Non-Catalog Item|Not Set|RECEIVING/STORES - CVL|Unclassified|USD|40000150|Carrier Corporation|OAK PRESS SOLUTIONS INC|8|28 Jul 2022|Not Set
Living Expenses (Approximate Cost)|PR236552|Non-Catalog Item|Not Set|RECEIVING/STORES - CVL|Unclassified|USD|40000150|Carrier Corporation|OAK PRESS SOLUTIONS INC|8|28 Jul 2022|Not Set
Shim, Yoke Cap|PR236550|Non-Catalog Item|Not Set|RECEIVING/STORES - CVL|Unclassified|USD|40000150|Carrier Corporation|OAK PRESS SOLUTIONS INC|4|28 Jul 2022|Not Set
Shim, Yoke Cap|PR236551|Non-Catalog Item|Not Set|RECEIVING/STORES - CVL|Unclassified|USD|40000150|Carrier Corporation|OAK PRESS SOLUTIONS INC|4|28 Jul 2022|Not Set
Shim, Yoke Cap|PR236552|Non-Catalog Item|Not Set|RECEIVING/STORES - CVL|Unclassified|USD|40000150|Carrier Corporation|OAK PRESS SOLUTIONS INC|4|28 Jul 2022|Not Set
Travel Expenses (Approximate Cost)|PR236550|Non-Catalog Item|Not Set|RECEIVING/STORES - CVL|Unclassified|USD|40000150|Carrier Corporation|OAK PRESS SOLUTIONS INC|7|28 Jul 2022|Not Set
Travel Expenses (Approximate Cost)|PR236551|Non-Catalog Item|Not Set|RECEIVING/STORES - CVL|Unclassified|USD|40000150|Carrier Corporation|OAK PRESS SOLUTIONS INC|7|28 Jul 2022|Not Set
Travel Expenses (Approximate Cost)|PR236552|Non-Catalog Item|Not Set|RECEIVING/STORES - CVL|Unclassified|USD|40000150|Carrier Corporation|OAK PRESS SOLUTIONS INC|7|28 Jul 2022|Not Set
Travel Hours (Approximate Hours)|PR236550|Non-Catalog Item|Not Set|RECEIVING/STORES - CVL|Unclassified|USD|40000150|Carrier Corporation|OAK PRESS SOLUTIONS INC|6|28 Jul 2022|Not Set
Travel Hours (Approximate Hours)|PR236551|Non-Catalog Item|Not Set|RECEIVING/STORES - CVL|Unclassified|USD|40000150|Carrier Corporation|OAK PRESS SOLUTIONS INC|6|28 Jul 2022|Not Set
Travel Hours (Approximate Hours)|PR236552|Non-Catalog Item|Not Set|RECEIVING/STORES - CVL|Unclassified|USD|40000150|Carrier Corporation|OAK PRESS SOLUTIONS INC|6|28 Jul 2022|Not Set
EMC Test Report|PR236489|Non-Catalog Item|Not Set|T/T Development Engineering|Unclassified|USD|40003084|Carrier Corporation|TUV RHEINLAND OF NORTH AMERICA INC|2|28 Jul 2022|Not Set
Estimated Engineer Travel Expenses|PR236489|Non-Catalog Item|Not Set|T/T Development Engineering|Unclassified|USD|40003084|Carrier Corporation|TUV RHEINLAND OF NORTH AMERICA INC|3|28 Jul 2022|Not Set
Estimated Shipping Expenses|PR236489|Non-Catalog Item|Not Set|T/T Development Engineering|Unclassified|USD|40003084|Carrier Corporation|TUV RHEINLAND OF NORTH AMERICA INC|4|28 Jul 2022|Not Set
INSITU EMC Testing of Vector CARB in Syracuse|PR236489|Non-Catalog Item|Not Set|T/T Development Engineering|Unclassified|USD|40003084|Carrier Corporation|TUV RHEINLAND OF NORTH AMERICA INC|1|28 Jul 2022|Not Set
Quest - Carrier Franklin Operations & Supply Chain Support - Phase 2|PR236532|Non-Catalog Item|Not Set|RES VIRTUS-FRANKLIN|Unclassified|USD|40010738|Carrier Corporation|QUEST GLOBAL SERVICES NA INC|1|28 Jul 2022|Not Set
Badging Cards for 7310 W. Morris Street|PR236530|Non-Catalog Item|Not Set|FACILITY MAINTENANCE - INDY|Unclassified|USD|40013849|Carrier Corporation|UTC FIRE AND SECURITY AMERICAS CORPORATION INC|1|28 Jul 2022|Not Set
Brayton, Matthew|PR221438-V2|Non-Catalog Item|Not Set|DT-Product Software-R&D|Unclassified|USD|40015664|Carrier Corporation|Volt Consulting Grp|1|28 Jul 2022|Not Set
Muthyala, Surya|PR202511-V4|Non-Catalog Item|Not Set|DT-Product Software-R&D|Unclassified|USD|40015664|Carrier Corporation|Volt Consulting Grp|1|28 Jul 2022|Not Set
Pipaliya, Atul|PR207032-V3|Non-Catalog Item|Not Set|DT-Product Software-R&D|Unclassified|USD|40015664|Carrier Corporation|Volt Consulting Grp|1|28 Jul 2022|Not Set
"Slack Renewal 2022-2023 | Digital Foundry $33,750 (Allocation Split - All Products), John Souther $12,600 (Cost Center 109749 - “Digital Ops”), Lenel S2 $4,950 (3725 or CAL2053725) (Screenshot attached for chargebacks)"|PR236555|Non-Catalog Item|Not Set|DT-Product Software-R&D|Unclassified|USD|40016889|Carrier Corporation|SLACK TECHNOLOGIES INC|1|28 Jul 2022|Not Set
RECRUITMENT EXPENSE|PR226699-V3|Non-Catalog Item|Not Set|CML HVAC HQ FINANCE|Unclassified|USD|40019593|Carrier Corporation|RUSSELL REYNOLDS ASSOCIATES INC|1|28 Jul 2022|Not Set
Adapter for SAP NetWeaver|PR236594|Non-Catalog Item|Not Set|SAP IMPLEMENTATION - NAHVAC|Unclassified|USD|40000098|Carrier Corporation|INFOR US INC|1|29 Jul 2022|Not Set
Power First Cable Tie (Orange)|PR236693|Non-Catalog Item|Not Set|QUALITY CONTROL - INDY|Unclassified|USD|40000176|Carrier Corporation|WW GRAINGER INC GRAINGER|1|29 Jul 2022|Not Set
Doe Anderson Fall Milwaukee Pilot program media|PR236640|Non-Catalog Item|Not Set|Carrier Dealer Development|Unclassified|USD|40000215|Carrier Corporation|DOE ANDERSON INC|1|29 Jul 2022|Not Set
Ansys Inc.  Granta MI  Quote #: 1-JWEVAB|PR236608|Non-Catalog Item|Not Set|WHQ Advanced Materials|Unclassified|USD|40000939|Carrier Corporation|ANSYS INC|1|29 Jul 2022|Not Set
50 Conga Composer - Business license for Carrier REF CCR|PR236385|Non-Catalog Item|Not Set|DT- Customer Experience COE|Unclassified|USD|40000953|Carrier Corporation|APPEXTREMES LLC DBA CONGA|1|29 Jul 2022|Not Set
ATIP - 2022 - Stormwater Pond System Algae/Bio Control Services|PR236647|Non-Catalog Item|Not Set|BLDG SUPPORT MAINTENANCE|Unclassified|USD|40001016|Carrier Corporation|ATIP CONTROL INC|1|29 Jul 2022|Not Set
AB MPL-B220T-VJ74AA - Qty: 3|PR236638|Non-Catalog Item|Not Set|MANUFACTURING ENGINEERING-INDY|Unclassified|USD|40001539|Carrier Corporation|EGENOLF INDUSTRIAL GROUP INC|1|29 Jul 2022|Not Set
Ernst & Young Project North Star - Capital|PR197231-V3|Non-Catalog Item|Not Set|PTAC PUBLIC WAREHOUSE|Unclassified|USD|40001602|Carrier Corporation|ERNST AND YOUNG US LLP|1|29 Jul 2022|Not Set
Ernst & Young Project North Star - Capital|PR197231-V3|Non-Catalog Item|Not Set|PTAC PUBLIC WAREHOUSE|Unclassified|USD|40001602|Carrier Corporation|ERNST AND YOUNG US LLP|3|29 Jul 2022|Not Set
Ernst & Young Project North Star - Expense|PR197231-V3|Non-Catalog Item|Not Set|PTAC PUBLIC WAREHOUSE|Unclassified|USD|40001602|Carrier Corporation|ERNST AND YOUNG US LLP|2|29 Jul 2022|Not Set
Ernst & Young Project North Star - Expense|PR197231-V3|Non-Catalog Item|Not Set|PTAC PUBLIC WAREHOUSE|Unclassified|USD|40001602|Carrier Corporation|ERNST AND YOUNG US LLP|4|29 Jul 2022|Not Set
Data Migration - AP SoE Archival Solution|PR236627|Non-Catalog Item|Not Set|CBS DIGITAL|Unclassified|USD|40002087|Carrier Corporation|LARSEN AND TOUBRO INFOTECH LIMITED EDISON SQUARE WEST|1|29 Jul 2022|Not Set
FedEx Weekly Labor cost and services.|PR236605|Non-Catalog Item|Not Set|BNA Warehouse|Unclassified|USD|40012197|Carrier Corporation|FEDEX SUPPLY CHAIN INC|1|29 Jul 2022|Not Set
Carruth, Marsha|PR218482-V2|Non-Catalog Item|Not Set|Plant Management - Athens|Unclassified|USD|40015664|Carrier Corporation|Volt Consulting Grp|1|29 Jul 2022|Not Set
Manzur, Aatir|PR236590|Non-Catalog Item|Not Set|Electronic Engineering|Unclassified|USD|40015664|Carrier Corporation|Volt Consulting Grp|1|29 Jul 2022|Not Set
Month 1 (2022-06-25)|PR236592|Non-Catalog Item|Not Set|CML CHILLER DESIGN SERVICES|Unclassified|USD|40015664|Carrier Corporation|Volt Consulting Grp|2|29 Jul 2022|Not Set
Month 2 (2022-07-30)|PR236592|Non-Catalog Item|Not Set|CML CHILLER DESIGN SERVICES|Unclassified|USD|40015664|Carrier Corporation|Volt Consulting Grp|6|29 Jul 2022|Not Set
Month 3 (2022-08-27)|PR236592|Non-Catalog Item|Not Set|CML CHILLER DESIGN SERVICES|Unclassified|USD|40015664|Carrier Corporation|Volt Consulting Grp|3|29 Jul 2022|Not Set
Month 4 (2022-09-24)|PR236592|Non-Catalog Item|Not Set|CML CHILLER DESIGN SERVICES|Unclassified|USD|40015664|Carrier Corporation|Volt Consulting Grp|4|29 Jul 2022|Not Set
Month 5 (2022-10-29)|PR236592|Non-Catalog Item|Not Set|CML CHILLER DESIGN SERVICES|Unclassified|USD|40015664|Carrier Corporation|Volt Consulting Grp|5|29 Jul 2022|Not Set
Month 6 (2022-11-26)|PR236592|Non-Catalog Item|Not Set|CML CHILLER DESIGN SERVICES|Unclassified|USD|40015664|Carrier Corporation|Volt Consulting Grp|7|29 Jul 2022|Not Set
Month 7 (2022-12-31)|PR236592|Non-Catalog Item|Not Set|CML CHILLER DESIGN SERVICES|Unclassified|USD|40015664|Carrier Corporation|Volt Consulting Grp|1|29 Jul 2022|Not Set
Pappas, Dianna|PR230005-V2|Non-Catalog Item|Not Set|DT- COE Enablement|Unclassified|USD|40015664|Carrier Corporation|Volt Consulting Grp|1|29 Jul 2022|Not Set
Randle, Robert|PR236686|Non-Catalog Item|Not Set|CTD Manufacturing|Unclassified|USD|40015664|Carrier Corporation|Volt Consulting Grp|1|29 Jul 2022|Not Set
Rollins, Logan|PR236636|Non-Catalog Item|Not Set|CML HVAC HQ Global Service Leadership|Unclassified|USD|40015664|Carrier Corporation|Volt Consulting Grp|1|29 Jul 2022|Not Set
Scott, Natasha|PR236613|Non-Catalog Item|Not Set|CHARLOTTE-H.R. PROGRAMS|Unclassified|USD|40015664|Carrier Corporation|Volt Consulting Grp|1|29 Jul 2022|Not Set
Desktop TC M90n1_OEM_FL_50C_WHL-U_ES_In - Part number 11AMS16H00|PR236657|Non-Catalog Item|Not Set|DT-Product Software-R&D|Unclassified|USD|40018082|Carrier Corporation|LENOVO GLOBAL TECHNOLOGY UNITED STATES INC|1|29 Jul 2022|Not Set
ThinkCentre Nano DIN Rail Mount - part number 4XF0V81629|PR236657|Non-Catalog Item|Not Set|DT-Product Software-R&D|Unclassified|USD|40018082|Carrier Corporation|LENOVO GLOBAL TECHNOLOGY UNITED STATES INC|3|29 Jul 2022|Not Set
ThinkCentre Nano IoT IOBOX - part number 4XH0X77236|PR236657|Non-Catalog Item|Not Set|DT-Product Software-R&D|Unclassified|USD|40018082|Carrier Corporation|LENOVO GLOBAL TECHNOLOGY UNITED STATES INC|4|29 Jul 2022|Not Set
ThinkCentre Tiny 65W AC Adapter (slim tip) - US / Canada / Mexico - part number 4X20E53336|PR236657|Non-Catalog Item|Not Set|DT-Product Software-R&D|Unclassified|USD|40018082|Carrier Corporation|LENOVO GLOBAL TECHNOLOGY UNITED STATES INC|2|29 Jul 2022|Not Set
Black n' Red Professional Notebook, 8.25 x 11.75|PR236691|Non-Catalog Item|Not Set|QUALITY CONTROL - INDY|Unclassified|USD|40018882|Carrier Corporation|STAPLES CONTRACT AND COMMERCIAL LLC|1|29 Jul 2022|Not Set
Wireless Keyboard & Mouse|PR236692|Non-Catalog Item|Not Set|QUALITY CONTROL - INDY|Unclassified|USD|40018882|Carrier Corporation|STAPLES CONTRACT AND COMMERCIAL LLC|1|29 Jul 2022|Not Set
UEG|PR236672|Non-Catalog Item|Not Set|WHQ Communications|Unclassified|USD|40020096|Carrier Corporation|UNITED ENTERTAINMENT GROUP HOLDINGS LLC|1|29 Jul 2022|Not Set
Injection Molder training Quote 22-0629-1|PR236618|Non-Catalog Item|Not Set|F&S Advanced Solutions|Unclassified|USD|40020104|Carrier Corporation|INJECT LLC|1|29 Jul 2022|Not Set
Environmental Service related to Under ground Piping for Tr-21 Tower Project|PR235864|Non-Catalog Item|Not Set|CMU LAB|Unclassified|USD|40000004|Carrier Corporation|AECOM TECHNICAL SERVICES INC|1|30 Jul 2022|Not Set
Wired - 11452 - Check Network Ports on 7125|PR236696|Non-Catalog Item|Not Set|RES Vendor Spend|Unclassified|USD|40000212|Carrier Corporation|WIRED COMMUNICATIONS LLC|1|30 Jul 2022|Not Set
Wired - 11453 - Network Drop at Tool & Die|PR236697|Non-Catalog Item|Not Set|RES Vendor Spend|Unclassified|USD|40000212|Carrier Corporation|WIRED COMMUNICATIONS LLC|1|30 Jul 2022|Not Set
Fin Press Overhaul PM Program|PR236695|Non-Catalog Item|Not Set|CVL-COIL SHOP MAINTENANCE|Unclassified|USD|40002255|Carrier Corporation|MIDWEST AUTOMATION INC|1|30 Jul 2022|Not Set
Refeed 200 amp Power Service from TR-7 to TR-8;•	Provide and install 1 200 amp Disconnect in TR-7A. ;•	Provide and install 200-amp feeder from TR-7A to TR-8 panel;•	Provide and install a 200-amp interlock armor from 200 amp Disconnect in TR-7A to TR-8 and connect to existing Panel|PR236186|Non-Catalog Item|Not Set|CMU LAB|Unclassified|USD|40017165|Carrier Corporation|E J ELECTRIC LLC|2|30 Jul 2022|Not Set
Remove primary 15KV cable from TR-7A to TR-8 unit substation|PR236186|Non-Catalog Item|Not Set|CMU LAB|Unclassified|USD|40017165|Carrier Corporation|E J ELECTRIC LLC|3|30 Jul 2022|Not Set
TR 8 Electrical Isolation & Repower TR-7 from TR-7A Substation;•	Provide and install 1 200 amp Disconnect in TR-7A. ;•	Provide and install 200-amp feeder from TR-7A to 200 amp disconnect;•	Provide and install a 200-amp interlock armor from 200 amp Disconnect in TR-7A to TR-7 and connect to existing switch gear|PR236186|Non-Catalog Item|Not Set|CMU LAB|Unclassified|USD|40017165|Carrier Corporation|E J ELECTRIC LLC|1|30 Jul 2022|Not Set
center panel press 3 cylinder|PR236705|Non-Catalog Item|Not Set|MANUFACTURING ENGINEERING-INDY|Unclassified|USD|40001539|Carrier Corporation|EGENOLF INDUSTRIAL GROUP INC|1|31 Jul 2022|Not Set
Supply Chain Gartner Subscription-Based Research and Related Services|PR236785|Non-Catalog Item|Not Set|WHQ VP Supply Chain|Unclassified|USD|40001694|Carrier Corporation|Gartner, Inc.|1|01 Aug 2022|Not Set
Material: 28NJ3;Material Description: Dell EMC PowerEdge R340 - rack-mountable - Xeon E-2224 3.4 GHz - 8 GB - HDD 1 TB|PR236752|Non-Catalog Item|Not Set|RES HVAC|Unclassified|USD|40001923|Carrier Corporation|INSIGHT DIRECT USA INC|1|01 Aug 2022|Not Set
Transformation resources (Anupoju, Premchand), Feb 2021 - Feb 2022|PR188205-V4|Non-Catalog Item|Not Set|CHARLOTTE-NEW PROGRAMS|Unclassified|USD|40002070|Carrier Corporation|L AND T TECHNOLOGY SERVICES LIMITED|1|01 Aug 2022|Not Set
